(-2.2441,-15.7639)
(-31.2786,-0.47457)
(-59.2872,-15.603)
(-128.1609,-69.4594)
(-284.9792,-127.5254)
(-506.5879,-108.5462)
(-731.226,41.3274)
(-828.5971,312.1543)
(-746.6596,598.0229)
(-481.3925,774.4148)
(-139.1514,759.4895)
(122.8385,564.862)
(224.9584,299.0387)
(177.0955,95.6884)
(76.3711,38.43)
(42.3122,84.0624)
(107.0818,137.0503)
(211.6798,100.3812)
(238.2864,-31.3797)
(117.061,-149.6051)
(-106.1177,-141.4335)
(-309.8736,40.2685)
(-353.5757,329.0366)
(-194.3209,559.4823)
(70.8701,592.6905)
(265.4163,408.2224)
(248.4321,114.028)
(12.6295,-86.0782)
(-298.8284,-66.2397)
(-502.7838,163.3167)
(-472.7027,456.3776)
(-242.7113,620.1285)
(19.5923,562.763)
(149.4142,336.328)
(68.3625,96.0071)
(-159.7172,0.66548)
(-361.2563,96.4401)
(-407.7035,303.0294)
(-277.2771,439.5097)
(-80.9477,413.3)
